Company,Paint Name,HEX Code,Owned
New Citadel,White Scar,FFFFFF,N
New Citadel,Ceramite White,FFFFFF,N
New Citadel,Kislev flesh,EEC8C7,N
New Citadel,Bestigor Flesh,F7BD7B,N
New Citadel,Dorn yellow,FFF700,N
New Citadel,Flash Gitz Yellow,FFE700,N
New Citadel,Yriel Yellow,FFCE00,N
New Citadel,Tallarn Sand,9C8855,N
New Citadel,Jokaero Orange,EE3823,N
New Citadel,Fire Dragon Bright,FF8552,N
New Citadel,Troll Slayer Orange,F46C2E,N
New Citadel,Mephiston Red,991115,Y
New Citadel,Evil Sunz Scarlet,C21920,N
New Citadel,Wild Rider Red,EB2E28,N
New Citadel,Wazdakka Red,940008,N
New Citadel,Khorne Red,6A0002,N
New Citadel,Emperor's Children,EF9CB5,N
New Citadel,Screamer Pink,9C004A,N
New Citadel,Xereus Purple,5A005A,N
New Citadel,Naggaroth Night,562F7E,N
New Citadel,Kantor Blue,08085A,N
New Citadel,Altdorf Guard Blue,29397B,N
New Citadel,Macragge Blue,2D567C,N
New Citadel,Caledor Sky,31639C,N
New Citadel,Lothern Blue,6B9CCE,N
New Citadel,Teclis Blue,8BB9DD,N
New Citadel,Sotek Green,006B5A,N
New Citadel,Sybarite Green,82C59C,N
New Citadel,Kabalite Green,069B7D,N
New Citadel,Caliban Green,005221,N
New Citadel,Warpstone Glow,106B21,N
New Citadel,Warboss Green,63B521,N
New Citadel,Elysian Green,A5A542,N
New Citadel,Moot Green,A5D610,N
New Citadel,Castellan Green,455440,N
New Citadel,Waaagh! Flesh,384E49,N
New Citadel,Loren Forest,434F38,N
New Citadel,Deathworld Forest,5D6732,N
New Citadel,Straken Green,628026,N
New Citadel,Nurgling Green,849B63,N
New Citadel,Ushabti Bone,EFD9A8,N
New Citadel,Zandri Dust,9E915C,N
New Citadel,Pallid Wych Flesh,CDCEBE,N
New Citadel,Screaming Skull,F0F1CE,N
New Citadel,Tau Light Ochre,DE9408,N
New Citadel,Ratskin Flesh,F78C5A,N
New Citadel,Bugman's Glow,A95C3E,N
New Citadel,Zamesi Desert,C68400,N
New Citadel,Balor Brown,9C6B08,N
New Citadel,Balor Brown,976F3C,N
New Citadel,Skrag Brown,843910,N
New Citadel,Rhinox Hide,390008,N
New Citadel,Doombull Brown,630808,N
New Citadel,Baneblade Brown,705E48,N
New Citadel,Mournfang Brown,663300,N
New Citadel,Mournfang Brown,6D5044,N
New Citadel,XV-88,793721,N
New Citadel,Steel Legion Drab,655138,N
New Citadel,Karak Stone,9B8C7B,N
New Citadel,Ulthuan grey,C3C6CD,N
New Citadel,Fenrisian Grey,CEDEE7,N
New Citadel,The Fang,4E5067,N
New Citadel,Administratum Grey,B5B5B5,N
New Citadel,Dawnstone,999999,N
New Citadel,Mechanicus Standard Grey,7C8286,N
New Citadel,Celestra Grey,96A5A9,N
New Citadel,Abaddon Black,000000,N
New Citadel,Runefang Steel,B5B5BD,N
New Citadel,Ironbreaker,7B737B,N
New Citadel,Leadbelcher,393939,N
New Citadel,Auric Armour Gold,E7BD42,N
New Citadel,Gehenna's Gold,CCCC33,N
New Citadel,Hashut Copper,9C5221,N
New Citadel,Runelord brass,735A21,N
New Citadel,Brass scorpion,73372D,N
New Citadel,Warplock Bronze,393121,N
New Citadel,Stormvermin Fur,4D4A4A,N
New Citadel,Rakarth Flesh,B9ADA1,N
New Citadel,Daemonette Hide,4F566C,N
New Citadel,Averland Sunset,9C8A53,N
New Citadel,Cadian Fleshtone,8D736C,N
New Citadel,Drakenhof Nightshade,273E51,N
New Citadel,Carroburg Crimson,630808,N
New Citadel,Nuln Oil,000000,N
New Citadel,Agrax Earthshade,393121,N
New Citadel,Seraphim Sepia,843910,N
New Citadel,Druchii Violet,842994,N
New Citadel,Reikland Fleshshade,CE8C42,N
New Citadel,Biel-Tan Green,434F38,N
Vallejo Game Colour,Dead White (001),FFFFFF,N
Vallejo Game Colour,White Primer (002),FFFFFF,N
Vallejo Game Colour,Pale Flesh (003),EEC8C7,N
Vallejo Game Colour,Elf Skintone (004),F7BD7B,N
Vallejo Game Colour,Bad Moon Yellow (005),FFF700,N
Vallejo Game Colour,Sunblast Yellow (006),FFE700,N
Vallejo Game Colour,Gold Yellow (007),FFCE00,N
Vallejo Game Colour,Desert Yellow (063),9C8855,N
Vallejo Game Colour,Heavy Orange (152),EE3823,N
Vallejo Game Colour,Orange Fire (008),FF8552,N
Vallejo Game Colour,Hot Orange (009),F46C2E,N
Vallejo Game Colour,Heavy Red (141),991115,N
Vallejo Game Colour,Bloody Red (010),C21920,N
Vallejo Game Colour,Gory Red (011),940008,N
Vallejo Game Colour,Scarlett Red (012),6A0002,N
Vallejo Game Colour,Squid Pink (013),EF9CB5,N
Vallejo Game Colour,Warlord Purple (014),9C004A,N
Vallejo Game Colour,Hexed Lichen (015),5A005A,N
Vallejo Game Colour,Royal Purple (016),562F7E,N
Vallejo Game Colour,Sick Blue (017),412A7A,N
Vallejo Game Colour,Stormy Blue (018),27357E,N
Vallejo Game Colour,Night Blue (019),000031,N
Vallejo Game Colour,Imperial Blue (020),08085A,N
Vallejo Game Colour,Ultra Marine Blue (022),29397B,N
Vallejo Game Colour,Heavy Blue (143),2D567C,N
Vallejo Game Colour,Magic Blue (021),31639C,N
Vallejo Game Colour,Ice Blue (095),6B9CCE,N
Vallejo Game Colour,Electric Blue (023),8BB9DD,N
Vallejo Game Colour,Falcon Turquoise (024),006B5A,N
Vallejo Game Colour,Foul Green (025),82C59C,N
Vallejo Game Colour,Jade Green (026),069B7D,N
